tile,year,class,area
1057.0,1985,3,6222.587536025164
1057.0,1985,12,0.3684798720703126
1057.0,1985,15,7.589519883178705
1057.0,1985,33,40.358826950805415
1058.0,1985,3,13088.503428144635
1058.0,1985,12,21.79876938775612
1058.0,1985,15,38.43539764953636
1058.0,1985,33,26.940221547424315
1059.0,1985,3,16877.247550342952
1059.0,1985,12,56.70668765093968
1059.0,1985,15,90.1233014373782
1059.0,1985,33,27.96393703796388
1060.0,1985,3,25989.384119906965
1060.0,1985,12,553.7831484728205
1060.0,1985,15,33.017197376892234
1060.0,1985,33,922.5202936565024
1061.0,1985,3,26693.943350430472
1061.0,1985,12,110.61937838464289
1061.0,1985,15,41.78121198266582
1061.0,1985,33,645.7638475557995
1062.0,1985,3,24946.04403833347
1062.0,1985,12,87.19461729565565
1062.0,1985,15,250.5566765038471
1062.0,1985,33,2180.9627547358277
1063.0,1985,3,27215.60390740493
1063.0,1985,12,89.5698629315192
1063.0,1985,15,55.09734222735526
1063.0,1985,33,60.9569745349116
1064.0,1985,3,27097.05301356561
1064.0,1985,12,10.934599363159194
1064.0,1985,15,121.86477838421648
1064.0,1985,33,127.22110606652676
1065.0,1985,3,26967.36969373675
1065.0,1985,12,9.259584234375
1065.0,1985,15,37.470285282043406
1065.0,1985,33,263.28769943145625
1066.0,1985,3,26924.26339048319
1066.0,1985,12,42.33384133416782
1066.0,1985,15,175.09266147864042
1066.0,1985,33,37.09416226385468
1067.0,1985,3,11886.421742246504
1067.0,1985,12,2.653003691101074
1067.0,1985,15,757.4854526769799
1067.0,1985,24,2.894042125671382
1067.0,1985,33,8.895674887512206
2057.0,1985,3,687.5694733556652
2057.0,1985,15,0.1944096579589843
2057.0,1985,33,0.0624285239868163
2059.0,1985,3,2909.442281583817
2059.0,1985,12,24.985256021850635
2059.0,1985,15,8.676988641662593
2059.0,1985,33,16.1248860482178
2060.0,1985,3,26788.976663302743
2060.0,1985,12,88.030351749634
2060.0,1985,15,30.68630514672853
2060.0,1985,33,575.4513348871072
2061.0,1985,3,26317.20665657054
2061.0,1985,12,272.32300875066824
2061.0,1985,15,120.89553716863983
2061.0,1985,33,782.1042946558697
2062.0,1985,3,25886.0701540604
2062.0,1985,12,79.01807383184793
2062.0,1985,15,192.59188905792217
2062.0,1985,24,2.020047455566407
2062.0,1985,33,1305.0611803929169
2063.0,1985,3,27009.11289451133
2063.0,1985,12,14.383247732666018
2063.0,1985,15,64.86525200299047
2063.0,1985,24,1.086805876403811
2063.0,1985,33,330.71714007696625
2064.0,1985,3,27064.09578552125
2064.0,1985,12,8.438640041320802
2064.0,1985,15,56.57560507159452
2064.0,1985,33,227.57862488696185
2065.0,1985,3,27123.95496682935
2065.0,1985,12,2.839305912719724
2065.0,1985,15,21.60705728906248
2065.0,1985,33,128.28469552398684
2066.0,1985,3,26633.88709588634
2066.0,1985,12,27.665716001403734
2066.0,1985,15,400.10929345248456
2066.0,1985,24,2.255423520141586
2066.0,1985,33,114.83424877691712
2067.0,1985,3,22901.71188470322
2067.0,1985,12,8.132191934814452
2067.0,1985,15,2689.9586776061938
2067.0,1985,24,24.957708182434025
2067.0,1985,33,31.97207169067381
2068.0,1985,3,2180.826406770648
2068.0,1985,12,2.5113986511840825
2068.0,1985,15,564.5143188828265
2068.0,1985,24,2.3598536018066385
2068.0,1985,33,3.731676901550304
3058.0,1985,3,20.78148961907808
3059.0,1985,3,18360.25170237238
3059.0,1985,12,51.95708423999015
3059.0,1985,15,9.577082435607911
3059.0,1985,33,248.22525742419916
3060.0,1985,3,26807.710842711316
3060.0,1985,12,132.17323633746506
3060.0,1985,15,53.30093714892575
3060.0,1985,33,505.77004251702095
3061.0,1985,3,26868.726949096614
3061.0,1985,12,14.130206431091317
3061.0,1985,15,6.2946062528686495
