codigocena,cena,classe,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
1060,001/60,15,0,0,0,0,0,0,0,0,0,0,0,0,0.1787889404,1.5197108948,1.3409213318,6.8833905457,3.3076059143,5.7212431091,23.153115033,31.0198525818,40.3168768677,32.9864811951,22.5273699036,13.9455170288,10.3697519592,0.5363729736,0,0,0,0,0,0,0,0,0
1060,001/60,21,3580.4059265948,1932.4887434633,1781.7629203282,1628.778749205,2071.3262571789,1509.5375119459,971.0603846248,2114.5233317772,2274.832505867,1223.9802991595,1756.2707255473,811.3496036804,1802.2786770239,1639.3397602611,1326.0335788952,7153.6285533784,10545.2137591762,14590.9388251831,13289.1954993386,8048.7806358024,7345.058771847,6537.8935133426,4569.7992203811,4234.0211767895,2461.8681368693,5703.6334788238,5219.8524908158,4551.8740069959,6033.4690689136,7097.3588450936,8011.1550403232,12271.9319946908,8375.8344625859,8375.8344625859,8375.8344625859
1060,001/60,24,95.742293396,89.2164385864,70.2646497559,61.5933099854,48.9885826904,51.2234640686,45.0551921326,56.3189884033,59.1796353271,50.3295085999,51.9386235291,67.1358183228,55.067458075,73.9298526428,74.5556214966,74.1980385681,117.4653283691,140.7974784851,146.1611955322,129.623078772,137.2216711609,151.614301886,147.2339372803,139.0095781372,156.2628542053,148.4854715637,155.1901103027,153.4916024719,158.3189445068,168.9569736816,167.8842314026,160.017452594,154.8325287659,154.8325287659,154.8325287659
1060,001/60,25,8.2243738464,7.5092138489,12.1577589111,14.6608088196,15.8229202332,111.5628640076,19.0409834656,46.7529987122,56.1391960144,27.2653383484,21.0972004456,28.3382873535,148.6613068481,95.8302933899,44.4289354797,90.9134374512,134.8946281189,294.1053486084,529.1231656311,47.0214510132,430.6993374451,508.1139092163,28.4276374451,41.6579101196,37.8140957886,158.1394039734,123.8110815063,105.1284538757,49.4353063477,70.5321203491,36.1155343567,166.7207089844,32.8078750122,32.8078750122,32.8078750122
1060,001/60,27,4.4697516479,5.0061340149,3.6652541199,3.5758121887,3.1288722473,4.2016095581,2.6818985901,3.39702995,5.0062233276,2.4137050354,3.1288688477,3.3076720276,3.75464198,3.2182767761,3.3970717041,4.2016203247,3.9334200012,4.290993634,5.1849575684,6.4364901306,9.4758507629,4.6485767029,5.1849453308,5.6319009399,4.648584198,6.0788724182,7.0622367188,8.0456129333,9.9229076111,5.274363623,5.9895268555,5.2743770996,5.2743653076,5.2743653076,5.2743653076
1060,001/60,33,87477.4638933634,91444.1692080655,89956.1491111513,86223.6801546497,86175.110343037,90227.0798409512,90272.9382499952,87017.0860774413,87966.2097959561,92873.1045627876,92300.1079789431,96483.6565213307,90865.8630218684,91786.9810611983,92141.031614862,89095.9388501988,89449.9523610356,88376.8758499067,91340.1447740721,92343.4679398289,90705.3112634498,91694.6005976418,96471.6892566714,94256.0057625642,96681.6817718661,91783.2650733977,91469.7472307797,92193.5838148045,92649.9582023008,90908.7856973565,90419.2955358961,89534.1863525567,91323.5814041072,91323.5814041072,91323.5814041072
1061,001/61,3,2697723.51143084,2695645.20326488,2701013.62497902,2703742.94217881,2696489.28495401,2688227.54616803,2689561.090453,2691021.9298197,2690696.46447123,2695230.4397614,2695249.37813696,2695235.70177235,2691028.68715396,2690966.64023076,2694049.83328812,2696913.2381894,2696155.37843708,2693489.30661722,2696955.57698786,2694027.37892785,2698235.85322271,2697420.46854745,2695483.18031724,2695570.69626636,2694963.23230731,2696498.54513005,2693858.39804808,2694396.90274198,2695678.702831,2693267.96571688,2693596.75764781,2695270.14597178,2689580.6024174,2689580.6024174,2689580.6024174
1061,001/61,13,13382.315382587,10303.4949079944,6346.0040058857,5033.9072871402,8174.1884193999,6030.0582701481,19802.9547942796,15370.6701778908,15571.8051066992,6333.4943250039,6336.358938523,6335.5542960269,13894.280137696,14584.037498816,10903.2057402435,5241.3995705586,4400.3013542528,4654.674829764,5502.7043055559,8116.8299646643,9580.1167271514,9720.5766137915,7372.6171325043,9911.8475796545,7472.0972953102,7679.2630971982,8842.9681624123,6375.1036660367,6471.0855218622,10261.7401409376,9447.7363846532,8170.935635614,14319.0998120173,14319.0998120173,14319.0998120173
1061,001/61,21,750.5574731082,514.1830366512,48.0296423076,161.4662075419,351.5535541042,56.917497356,326.5524739889,519.8328919616,519.7869758357,1525.9373403019,1530.8687820267,1531.0759560993,747.6551325874,646.6304925401,1559.0004707393,5649.5342202523,6958.0555962336,6414.7251309057,6189.0900928099,5601.1058893481,8044.0363093653,8653.4837032311,2336.1060748001,3523.5329154976,3793.2704111646,3790.5185667305,4186.1898520101,6901.8781678072,3407.7890572691,3286.1754216485,3476.4350209718,7136.28047529,6391.1990140113,6391.1990140113,6391.1990140113
1061,001/61,24,51.8241137878,54.0578962219,61.0273772888,57.6320030884,76.12785495,45.7481702271,51.6454065857,46.4629638672,48.786114325,48.4287055115,37.795831665,36.8129584778,36.0981489197,33.7749964478,33.0601790039,43.0676082886,48.6967792786,55.2194886475,67.8181076904,58.9722674072,54.0579056091,47.3565025818,61.7421959961,68.0861894348,75.9491828674,80.4167795288,106.2395018066,94.1769987061,105.2566246521,126.7010963318,117.3191443542,115.4427543579,116.7830326782,116.7830326782,116.7830326782
1061,001/61,25,6.0759447266,7.5949969421,23.7670244934,23.7670244934,48.5134737793,3.9314729126,47.8061830994,56.5655332703,56.7442368774,23.5079187805,23.5079187805,23.5079187805,119.0861818705,122.0590593811,21.7186382324,42.8984394431,95.9771919739,36.8232104187,54.9689970947,27.3441550293,81.2477551475,81.9628704246,9.1156726685,23.1476424561,17.1585512695,33.2444465271,23.2410205627,31.6338538391,5.8983273132,42.9926303955,22.7857407654,109.923733905,26.0893296631,26.0893296631,26.0893296631
1061,001/61,27,37.258117572,56.0204492981,45.8351691223,42.1721283203,53.7867204529,70.4052901428,64.9550448975,61.3813033569,60.7556832092,64.2402569641,64.2402569641,64.2402569641,60.2195875977,61.559913855,55.6628729919,54.0547027283,56.73498573,63.6144281433,55.6630508606,55.75213349,35.2923861816,35.649772406,64.5079609558,55.3054480713,55.3949809814,57.6287888367,62.5425236694,60.040721051,60.4875197449,53.8755814026,53.3395548462,64.6862139404,47.1748480042,47.1748480042,47.1748480042
1061,001/61,33,37029.6447695179,42400.6326801714,41442.8990340271,39919.3004027662,43787.7322554457,54546.5803633458,39126.1828763158,41904.3445421246,42026.8446439948,45755.1389241745,45739.0373672224,45754.2940734372,43095.1608895376,42566.4850403617,42358.70604283,41036.994501474,41266.042887611,44266.8235270635,40155.3656902764,41093.8038943616,32950.5829259799,33021.6892222602,43653.9178779873,39828.5711906761,42604.0845032522,40841.5704232639,41901.6081236146,41121.4510827348,43251.9673503031,41941.7366445749,42266.8137387582,38113.7724472392,38500.2387783799,38500.2387783799,38500.2387783799
1062,001/62,3,2523582.80140691,2510074.78174977,2512918.3573097,2531336.52443444,2510706.09539893,2517881.51639948,2520677.91615474,2536491.32422653,2523290.2585318,2521568.73782235,2526968.71656502,2506777.6447142,2504754.5450634,2509735.68696694,2495705.18848702,2506087.61433736,2500995.28636024,2499063.91387379,2509249.56249053,2509307.28890122,2509308.40306305,2506398.9815414,2508963.97157911,2519677.10639713,2510870.61334518,2519610.93955343,2516824.85545753,2515101.30791441,2515038.88496324,2511057.05763389,2511940.49776771,2507270.02344965,2500053.58466392,2500053.58466392,2500053.58466392
1062,001/62,13,6976.7179312111,6793.8185062884,6217.3582488517,2939.8736770141,6019.2241054819,4204.574860875,4741.8356459039,2742.7589593765,3960.7761070356,7458.1556132636,9804.0541372125,7101.28400435,6775.0957778947,7589.6664403975,11234.9465367019,3296.0536223645,3759.4597489708,4709.4004494423,2903.125218754,3100.35358661,1245.9171274351,1674.631188766,3187.1875430549,1403.0394576376,2574.0278073054,4824.7212121672,6907.368106667,1468.5750381373,3934.5753376362,4463.1549776535,606.6264260247,1406.7896155629,1205.7279882633,1205.7279882633,1205.7279882633
1062,001/62,15,2116.157364325,1138.5825396912,1436.1766650086,1796.0045494952,1312.1942508807,857.4244730957,659.5484406616,282.5494674927,77.1064693604,175.8154728088,836.6768673095,1344.4004956624,2670.829298293,3664.0509896992,2895.3470574768,1995.4499665964,2637.1381298899,3055.3442229099,4301.5579366415,4506.3806702294,5767.5974229499,5307.3207558223,3811.9487032874,2036.2263718649,1266.0132604492,767.7270908232,425.5061756714,401.7728667847,447.8465659363,693.2999881042,589.3989856567,732.5524607635,917.970703125,917.970703125,917.970703125
1062,001/62,21,4364.4760181205,3851.330089969,2135.3234114332,2266.4097959761,2509.3618404968,2047.8047388036,1753.0874453637,3636.6293508856,3730.4892530031,3852.9759569622,5416.8220167789,2690.9114571855,3619.6821505124,3758.9157651329,6770.5193868565,15414.9480157795,16051.2825890324,9403.7600107949,11362.2454853141,15167.0932887794,28442.4108904359,21566.6904282941,12832.8122827957,12157.0529014673,5204.0220252183,8239.7874011253,5914.3257082798,10922.9225763879,7816.2855429726,9003.0772633953,3803.4951168988,15821.6220639629,16616.4613980881,16616.4613980881,16616.4613980881
1062,001/62,24,515.2312815002,538.8853557007,547.8979449524,521.9274538147,581.7235706177,588.2370437134,528.6233583435,496.0475534485,536.2111416321,553.252968634,484.712278302,530.230849115,515.2376648071,503.2806573669,552.7263899292,572.7221119385,697.0479866211,729.7208911743,669.4787892151,631.7246286194,637.793580658,646.0113700928,705.7190684631,655.2950983948,767.488623761,699.3888142517,755.8862561646,731.0737153442,796.0479763672,825.6771838318,810.146415509,841.5644803101,831.0339615662,831.0339615662,831.0339615662
1062,001/62,25,896.3218521484,921.8768465426,169.5428256781,424.9746031028,823.7816034424,496.5737347205,125.319923495,855.4754509399,744.6539454712,645.8081776611,886.8357672551,186.8857555603,891.4369693365,186.618456543,214.728792041,415.3023012731,877.4965101135,431.7392734435,1512.9475760193,535.9032907043,812.7119100647,961.3920809499,1220.2648373901,610.2422382658,201.9947826477,450.1977487915,356.4958819336,1002.3796257996,619.3400172485,712.5627671021,72.6551495178,3572.9236300654,3968.4009884211,3968.4009884211,3968.4009884211
1062,001/62,27,98.7416339111,109.5443072388,109.2765779114,107.9221285516,113.6510568054,108.8149917779,99.1882266846,92.9390630066,98.0274454407,98.3687485406,99.2614840203,106.8654676697,110.7044482605,108.3830565918,110.7936776672,106.7762291992,109.9007446289,111.4184435669,107.3119841248,102.2229776001,93.0277637695,105.7948114258,104.0982192261,98.2058221741,118.4721701904,114.187518689,111.8659981445,112.8477205811,111.151459613,114.5432534302,116.0612277588,108.1153883545,110.4366452148,110.4366452148,110.4366452148
1062,001/62,33,207729.545511549,222851.173604466,222746.060016119,206886.356357205,224213.961173014,220095.046757163,217694.47380444,201682.268927931,213842.470105883,211926.878239436,201782.913883734,227541.77025596,226942.46162717,220733.390666974,228795.742671942,218391.126415135,221152.380930206,228774.695834536,216173.763519073,212929.025655909,199972.131241316,209619.170822915,215453.990766344,209642.824712734,225277.360984912,211573.043660372,214983.689415265,216539.113542214,217515.861136674,219410.619932259,228341.111910571,216526.401911004,222576.376651059,222576.376651059,222576.376651059
1063,001/63,3,2713580.97774219,2712667.35966897,2711360.94978783,2712831.03768134,2713139.0588094,2714777.18594442,2715438.93525035,2713961.90264651,2719327.80612251,2720052.32123865,2719704.43489368,2715467.31208242,2714562.72149463,2715825.72206108,2713762.90736229,2717105.25431267,2718434.90917846,2717297.50323036,2720354.65393446,2720643.88801443,2718836.4130458,2718141.45873961,2718590.85989826,2718424.84579062,2717888.79293687,2720259.47516459,2717841.54677734,2719430.66687905,2720771.96328788,2719322.49604042,2719333.29225993,2719109.60575312,2717728.51735498,2717728.51735498,2717728.51735498
1063,001/63,13,9372.0620808514,10633.451332382,13130.7675912389,11308.400945554,10799.2983459674,9038.196685234,10715.7758537377,4353.9105057881,4267.5868919067,3232.7419206819,3212.2648231199,6982.2818824358,7116.8796990447,7475.5530509386,8574.7810800784,6371.4875343801,5274.6769144332,5446.6145944394,4721.8138767063,4611.9343578336,4177.2714508136,4279.1908617142,4883.7903871286,4548.6346348915,4411.7422963271,4705.1014196195,5813.5417216152,4813.8389466579,5347.9348842692,5902.9260710827,3977.6185705664,4841.7432601089,4750.2993512156,4750.2993512156,4750.2993512156
1063,001/63,15,9.454772937,11.506396051,3.9249542786,9.6331807617,13.5591737305,22.2103085571,87.4558911926,273.8211837891,275.3525594131,411.2836604629,682.0144551711,846.926851052,955.2654758728,1143.0183247315,1151.811740564,1220.5821113581,1183.5919535395,1247.0541586709,1209.3688953307,1258.8795924987,1577.4916503821,1983.8955879145,2179.9733282314,1982.6550927937,2466.789081318,2236.3314518371,1943.4700495056,1890.4337807617,2127.3858383057,2076.8440311218,2130.4521837277,2237.0269712427,2418.3408964269,2418.3408964269,2418.3408964269
1063,001/63,21,188.4320058167,168.0868825834,684.039852059,1250.5363709823,649.7847808394,925.6206131692,1251.0485292652,2494.7531822453,1119.7899772913,4383.3922856736,4391.7079304474,786.3839542862,994.0639250984,1514.0584187063,1930.4884212864,1723.6704242937,2165.9587553042,2436.0220286139,1908.4070753435,1672.8789633448,5404.5143000388,5319.4394176338,1904.6105554338,1964.0195566102,967.606569535,1283.7673583223,1410.1423135498,1921.7281293052,1396.216171659,1493.3233702312,941.8161547047,1421.7535650737,2064.7024715991,2064.7024715991,2064.7024715991
1063,001/63,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.1066282593,50.3323429688,73.3159631836,66.278314856,72.6923785583,72.6923785583,72.6923785583
1063,001/63,25,8.735748761,20.9479698364,82.3503107056,212.8496826965,201.4543920227,312.3435894114,85.7166004456,124.5937212463,159.9893972046,392.5629286377,365.8830023512,127.0507351807,164.8318456421,166.9655945618,175.6205867004,143.6440956016,183.7256119263,155.8383819976,172.3030535081,107.2949221741,261.9658841003,305.9643754578,71.8220352173,99.7950409398,94.0234431091,203.1741472229,137.7970753479,326.0333122171,188.3072791504,189.3379694315,86.5880519059,204.104659201,346.4449458674,346.4449458674,346.4449458674
1063,001/63,27,15.0243790915,15.5610095114,15.6505625754,14.7589589072,13.3324658835,22.370413385,11.8561802002,12.3029386108,10.7457252158,9.3187453086,8.2917678711,12.3037829224,13.6419384155,10.2519330322,9.8956573486,9.7168074951,8.8250897217,8.8250905334,7.6238911032,8.8252080017,8.1120890686,8.6475550415,8.5580148621,9.1827942078,10.1641803162,9.6286312378,12.6608919739,14.4427701111,13.6404591797,11.2331449646,14.3536736511,12.7484516663,14.399854946,14.399854946,14.399854946
1063,001/63,33,18754.0966164126,18411.8700867658,16651.1002874017,16301.5665258398,17112.2953782446,16830.8557919129,14337.9950409013,20707.4991679371,16767.5126725722,13447.1625667008,13564.1864734617,17706.5240577953,18121.3789673922,15793.2139630437,16323.2784978184,15354.4280603158,14677.0958427307,15336.9258614929,13554.6126196548,13625.0822878221,11663.0149258969,11890.1868087282,14289.169126968,14899.6504360246,16089.6648386116,13231.3051732712,14769.6245167509,13531.639527995,12075.2287974049,12882.2903758886,15371.3464884315,14035.5223708568,14533.3860924996,14533.3860924996,14533.3860924996
1064,001/64,3,2711864.0136581,2717976.03759256,2718407.04652366,2718481.45787717,2718816.8322478,2717385.74165946,2718858.89962717,2718734.41581464,2718778.63886476,2720543.19855163,2720278.28913866,2718296.14618631,2718487.81774004,2718167.1161515,2718507.45585147,2717570.10181362,2718878.68531326,2719170.0018832,2717723.81769114,2718160.45674352,2718332.12122848,2719822.01878517,2718748.94441238,2718783.55213206,2718179.24905189,2718796.91258232,2719216.0588906,2718794.00381195,2718275.55793134,2718509.12232126,2717651.14794822,2717865.83335062,2716251.82566436,2716251.82566436,2716251.82566436
1064,001/64,13,2621.4804572886,158.7407637254,530.3960544401,465.1106808622,657.4887102342,515.6403938098,1504.55450478,1692.1856906777,959.9042690821,430.1163800305,195.790179596,700.5613551558,1127.4388380052,499.3247492018,946.6128923817,985.3969776525,660.0203956249,752.0954128998,207.815972467,760.5649031507,439.4481577913,262.4629692049,100.157687262,93.0803800805,410.7180330874,467.2492265549,385.4860807701,876.04890898,1513.7929695946,1337.101177933,1056.3044413792,1486.4226611736,1528.9972287268,1528.9972287268,1528.9972287268
1064,001/64,15,69.1828134155,62.9535871948,35.7058089355,53.8652318176,53.6929332397,39.8889922058,64.6418794617,59.3873829956,54.4397403566,71.2686212099,65.7040212728,32.5380540163,35.8645641968,28.9091774629,26.162003009,25.3600071411,30.3454171265,29.0086857178,31.7672446594,48.5777857178,42.0801765869,58.006105072,54.9797028992,45.637234613,37.2756127136,31.0481206238,27.1272368835,24.9894725769,22.320593988,32.2841369019,30.417079541,41.7142787048,43.0501080505,43.0501080505,43.0501080505
